time_s,q_albedo_W_per_m2
0,86.51
3602.3,0
5738.99,0
5738.99,86.51
5738.99,86.51
9341.29,0
11477.98,0
11477.98,86.51
11477.98,86.51
15080.28,0
17216.97,0
17216.97,86.51
17216.97,86.51
20819.27,0
22955.96,0
22955.96,86.51
22955.96,86.51
26558.26,0
28694.95,0
28694.95,86.51
28694.95,86.51
32297.25,0
34433.94,0
34433.94,86.51
34433.94,86.51
38036.24,0
40172.93,0
40172.93,86.51
40172.93,86.51
43775.23,0
45911.92,0
45911.92,86.51
45911.92,86.51
49514.22,0
51650.91,0
51650.91,86.51
51650.91,86.51
55253.21,0
57389.9,0
57389.9,86.51
57389.9,86.51
60992.2,0
63128.89,0
63128.89,86.51
63128.89,86.51
66731.19,0
68867.88,0
